2,123456789012,eni-12345,10.0.0.1,10.0.0.2,12345,25,TCP,10,500,1625205600,1625205660,ACCEPT,OK
2,123456789012,eni-12346,10.0.0.3,10.0.0.4,12346,68,udp,20,1000,1625205601,1625205661,REJECT,OK
2,123456789012,eni-12347,10.0.0.5,10.0.0.6,12347,23,tcp,15,750,1625205602,1625205662,ACCEPT,OK
2,123456789012,eni-12348,10.0.0.7,10.0.0.8,12348,31,udp,25,1250,1625205603,1625205663,REJECT,OK
2,123456789012,eni-12349,10.0.0.9,10.0.0.10,12349,443,tcp,30,1500,1625205604,1625205664,ACCEPT,OK
2,123456789012,eni-12350,10.0.0.11,10.0.0.12,12350,80,tcp,35,1750,1625205605,1625205665,REJECT,OK
2,123456789012,eni-12351,10.0.0.13,10.0.0.14,12351,53,udp,40,2000,1625205606,1625205666,ACCEPT,OK
2,123456789012,eni-12352,10.0.0.15,10.0.0.16,12352,22,tcp,45,2250,1625205607,1625205667,REJECT,OK
2,123456789012,eni-12353,10.0.0.17,10.0.0.18,12353,123,udp,50,2500,1625205608,1625205668,ACCEPT,OK
2,123456789012,eni-12354,10.0.0.19,10.0.0.20,12354,443,tcp,55,2750,1625205609,1625205669,REJECT,OK
